CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Cluster
12347.0,2,7,4060.4,8.309283020742617,2.0794415416798357,3
12348.0,75,4,1557.24,7.351312258212889,1.6094379124341003,0
12349.0,19,1,1457.55,7.285198070516535,0.6931471805599453,0
12350.0,310,1,334.4,5.815323849389109,0.6931471805599453,1
12352.0,36,8,1849.49,7.523205747866729,2.1972245773362196,3
12353.0,204,1,89.0,4.499809670330265,0.6931471805599453,1
12354.0,232,1,1079.4,6.985086621918461,0.6931471805599453,1
12355.0,214,1,459.4,6.132095676847728,0.6931471805599453,1
12356.0,23,3,2487.43,7.819407268507752,1.3862943611198906,0
12357.0,33,1,5970.07,8.6946814198077,0.6931471805599453,0
12358.0,2,2,1168.06,7.063955286074528,1.0986122886681098,0
12359.0,58,4,5792.58,8.664505686920359,1.6094379124341003,0
12360.0,52,3,2662.06,7.887231116540211,1.3862943611198906,0
12361.0,287,1,189.9,5.251749730731702,0.6931471805599453,1
12362.0,3,10,5226.23,8.56163678004062,2.3978952727983707,3
12363.0,110,2,552.0,6.315358001522335,1.0986122886681098,2
12364.0,8,4,1313.1,7.180907299649593,1.6094379124341003,0
12365.0,291,1,320.69,5.773588348900164,0.6931471805599453,1
12367.0,4,1,168.9,5.135210028677887,0.6931471805599453,2
12370.0,51,4,3545.69,8.173770053153254,1.6094379124341003,0
12371.0,60,1,1527.96,7.33234304469739,0.6931471805599453,0
12372.0,72,3,1298.04,7.169380809114136,1.3862943611198906,0
12373.0,311,1,364.6,5.901539839579995,0.6931471805599453,1
12374.0,25,1,742.9300000000001,6.6119469443852195,0.6931471805599453,2
12375.0,11,2,457.5,6.127960291696519,1.0986122886681098,2
12377.0,315,2,1628.12,7.395795270713971,1.0986122886681098,1
12378.0,130,1,4008.62,8.29645175271804,0.6931471805599453,0
12379.0,82,2,852.24,6.749040867823617,1.0986122886681098,0
12380.0,22,4,2724.81,7.910520910634419,1.6094379124341003,0
12381.0,5,5,1605.31,7.381694902031486,1.791759469228055,0
12383.0,185,5,1850.56,7.523783805985769,1.791759469228055,0
12384.0,29,2,585.27,6.373780434317173,1.0986122886681098,2
12386.0,338,2,401.9,5.998688392197302,1.0986122886681098,1
12388.0,16,6,2780.66,7.930803150780256,1.9459101490553132,0
12390.0,80,1,549.84,6.311444385858925,0.6931471805599453,2
12391.0,22,1,460.89,6.1353267674944725,0.6931471805599453,2
12393.0,72,4,1582.6000000000001,7.3674560152319755,1.6094379124341003,0
12394.0,64,2,1006.24,6.914969196000332,1.0986122886681098,0
12395.0,19,12,3018.63,8.012889586306857,2.5649493574615367,3
12397.0,36,2,2409.9,7.7877554007552545,1.0986122886681098,0
12398.0,46,1,1635.6599999999999,7.4004128587924045,0.6931471805599453,0
12399.0,119,4,1108.65,7.011799929268738,1.6094379124341003,0
12401.0,303,1,84.3,4.446174454497633,0.6931471805599453,1
12402.0,323,1,225.6,5.423186348593906,0.6931471805599453,1
12403.0,50,1,427.7,6.0607573736039315,0.6931471805599453,2
12405.0,149,1,1390.39,7.238058526457821,0.6931471805599453,2
12406.0,22,2,3415.3,8.136313373066384,1.0986122886681098,0
12407.0,50,5,1708.1200000000001,7.4437338971514055,1.791759469228055,0
12408.0,33,5,2888.55,7.968856059639959,1.791759469228055,0
12409.0,79,3,9081.77,9.11413449115144,1.3862943611198906,0
12410.0,309,2,693.3299999999999,6.542947351813216,1.0986122886681098,1
12412.0,75,3,1226.88,7.1130443840624835,1.3862943611198906,0
12413.0,67,3,758.1,6.632133521022722,1.3862943611198906,0
12414.0,217,3,562.41,6.334007604663525,1.3862943611198906,1
12415.0,25,15,44498.59,10.70323525462874,2.772588722239781,3
12417.0,3,9,3649.1,8.202509843461513,2.302585092994046,3
12418.0,113,1,668.58,6.506650650150935,0.6931471805599453,2
12420.0,64,1,600.39,6.3992436425478765,0.6931471805599453,2
12421.0,16,4,807.04,6.694611562246261,1.6094379124341003,0
12422.0,96,3,803.5600000000001,6.690295544136225,1.3862943611198906,0
12423.0,1,8,1859.31,7.528498419486568,2.1972245773362196,3
12424.0,163,2,1454.96,7.283420755851782,1.0986122886681098,0
12425.0,78,1,777.2,6.6569835605504535,0.6931471805599453,2
12426.0,195,1,582.73,6.369438547154207,0.6931471805599453,1
12427.0,22,3,825.8,6.717562827807613,1.3862943611198906,0
12428.0,26,8,7005.26,8.854559314116507,2.1972245773362196,3
12429.0,9,4,3750.4,8.22988438262624,1.6094379124341003,0
12430.0,43,1,256.4,5.5506312951620265,0.6931471805599453,2
12431.0,60,14,5259.61,8.568002268589552,2.70805020110221,3
12432.0,43,4,3884.12,8.26490915035561,1.6094379124341003,0
12433.0,1,7,12968.83,9.470381170054196,2.0794415416798357,3
12434.0,85,2,806.14,6.6934971352559,1.0986122886681098,0
12435.0,80,2,2229.34,7.7099093192000625,1.0986122886681098,0
12436.0,100,1,509.01,6.234430333369278,0.6931471805599453,2
12437.0,2,18,4951.41,8.507629605767502,2.9444389791664403,3
12438.0,14,2,2586.85,7.858582694126528,1.0986122886681098,0
12441.0,367,1,173.55,5.162211233551045,0.6931471805599453,1
12442.0,3,1,172.06,5.153638355178593,0.6931471805599453,2
12444.0,21,5,4165.46,8.334822033392163,1.791759469228055,0
12445.0,22,1,133.4,4.900820428089049,0.6931471805599453,2
12446.0,58,1,1002.3100000000001,6.9110598129904375,0.6931471805599453,2
12447.0,243,1,476.49,6.168543217293113,0.6931471805599453,1
12448.0,44,1,449.45,6.110247083097449,0.6931471805599453,2
12449.0,22,4,4067.29,8.310978042729836,1.6094379124341003,0
12450.0,156,2,197.88,5.292701627762401,1.0986122886681098,2
12451.0,11,5,8790.72,9.081565648442568,1.791759469228055,3
12452.0,17,2,430.57,6.067429722163682,1.0986122886681098,2
12453.0,134,1,707.09,6.562571204258897,0.6931471805599453,2
12454.0,56,1,1009.0,6.917705609835305,0.6931471805599453,2
12455.0,73,6,2466.86,7.81110665732229,1.9459101490553132,0
12456.0,44,3,2901.04,7.973169216946659,1.3862943611198906,0
12457.0,66,7,2363.23,7.768207666517555,2.0794415416798357,0
12458.0,71,2,947.4,6.854776354191251,1.0986122886681098,0
12461.0,94,2,826.88,6.718868216346018,1.0986122886681098,0
12462.0,19,2,1189.59,7.082204261557526,1.0986122886681098,0
12463.0,53,4,1344.78,7.204729049594601,1.6094379124341003,0
12464.0,10,8,1212.05,7.100893128209941,2.1972245773362196,0
12465.0,17,2,742.1899999999999,6.610951732080795,1.0986122886681098,0
12468.0,188,2,729.5400000000001,6.593783986707386,1.0986122886681098,1
12471.0,2,28,14320.45,9.569513692371734,3.367295829986474,3
12472.0,32,7,6572.11,8.790742363252102,2.0794415416798357,3
12473.0,29,5,2965.15,7.995020094581607,1.791759469228055,0
12474.0,17,18,7375.79,8.906093863622669,2.9444389791664403,3
12475.0,54,1,723.38,6.585316116572351,0.6931471805599453,2
12476.0,16,11,6816.42,8.82723638014411,2.4849066497880004,3
12477.0,23,6,11184.94,9.32241291151948,1.9459101490553132,3
12478.0,4,1,680.99,6.525014994979364,0.6931471805599453,2
12479.0,11,1,527.2,6.269474999863032,0.6931471805599453,2
12480.0,28,4,2964.83,7.994912204804395,1.6094379124341003,0
12481.0,23,10,5596.32,8.630043190742814,2.3978952727983707,3
12483.0,17,8,2484.98,7.818422226986002,2.1972245773362196,3
12484.0,33,6,4541.72,8.421281230578023,1.9459101490553132,3
12488.0,10,3,1298.66,7.169857970780942,1.3862943611198906,0
12489.0,336,1,334.93,5.816902804925467,0.6931471805599453,1
12490.0,5,10,5417.93,8.597653657970227,2.3978952727983707,3
12491.0,39,1,460.40000000000003,6.134265345739653,0.6931471805599453,2
12492.0,63,2,263.21000000000004,5.5767442414854775,1.0986122886681098,2
12493.0,166,2,433.74,6.0747481512447195,1.0986122886681098,1
12494.0,16,7,1246.1000000000001,7.128576134926702,2.0794415416798357,0
12497.0,82,1,1043.1,6.950910549296065,0.6931471805599453,2
12498.0,21,3,403.70000000000005,6.00314605188182,1.3862943611198906,2
12500.0,23,11,3328.54,8.1105894352944,2.4849066497880004,3
12501.0,337,1,2169.39,7.682662153888476,0.6931471805599453,1
12502.0,96,5,3723.87,8.222787230875806,1.791759469228055,0
12504.0,18,2,482.04999999999995,6.180120167963518,1.0986122886681098,2
12506.0,233,1,73.5,4.310799125385514,0.6931471805599453,1
12507.0,134,3,1096.01,7.0003435760039645,1.3862943611198906,0
12508.0,26,2,398.27,5.989637879766574,1.0986122886681098,2
12509.0,284,1,176.5,5.178970608915471,0.6931471805599453,1
12510.0,143,2,982.5699999999999,6.8911888096735625,1.0986122886681098,0
12512.0,66,2,138.03,4.9346897371814515,1.0986122886681098,2
12513.0,113,1,612.29,6.418837907265026,0.6931471805599453,2
12514.0,267,1,1017.68,6.926262950537876,0.6931471805599453,1
12515.0,353,1,383.7,5.95246380975825,0.6931471805599453,1
12516.0,78,2,1312.06,7.180115570136106,1.0986122886681098,0
12517.0,28,5,2502.84,7.825580832414862,1.791759469228055,0
12518.0,1,5,2056.89,7.629436465014086,1.791759469228055,0
12519.0,64,1,340.84,5.83434279133577,0.6931471805599453,2
12520.0,79,5,2634.26,7.876737127834484,1.791759469228055,0
12521.0,143,1,599.68,6.39806234681208,0.6931471805599453,2
12522.0,39,2,192.72,5.266413817535028,1.0986122886681098,2
12523.0,19,11,1789.77,7.490400973937009,2.4849066497880004,3
12524.0,9,8,4485.72,8.408877201532766,2.1972245773362196,3
12526.0,1,3,1316.66,7.183612715167257,1.3862943611198906,0
12527.0,82,3,348.71000000000004,5.857104239599851,1.3862943611198906,2
12528.0,9,6,1933.48,7.567593835498341,1.9459101490553132,0
12530.0,60,4,1662.28,7.416546835435133,1.6094379124341003,0
12531.0,15,1,125.22,4.838026416156094,0.6931471805599453,2
12532.0,30,1,349.83000000000004,5.860301775655642,0.6931471805599453,2
12534.0,131,1,1089.18,6.9940980992041535,0.6931471805599453,2
12535.0,92,2,716.35,6.575563866544399,1.0986122886681098,2
12536.0,59,1,4279.71,8.361874162668443,0.6931471805599453,0
12538.0,29,1,363.95,5.899760357897641,0.6931471805599453,2
12539.0,22,4,5568.35,8.625033629522884,1.6094379124341003,0
12540.0,20,17,12952.24,9.469101228884815,2.8903717578961645,3
12541.0,30,3,981.18,6.889774590946187,1.3862943611198906,0
12544.0,36,1,372.7,5.923453336491439,0.6931471805599453,2
12545.0,75,2,1000.39,6.9091443138264115,1.0986122886681098,0
12546.0,47,2,1161.5,7.058328137461511,1.0986122886681098,0
12547.0,198,2,207.79999999999998,5.341376856008484,1.0986122886681098,1
12548.0,166,1,95.19999999999999,4.566429357671661,0.6931471805599453,1
12550.0,79,1,964.83,6.872987835288763,0.6931471805599453,2
12551.0,358,1,168.0,5.1298987149230735,0.6931471805599453,1
12552.0,39,2,437.82,6.084089306213804,1.0986122886681098,2
12553.0,8,10,3692.28,8.214270231095687,2.3978952727983707,3
12556.0,50,2,603.71,6.404749004268278,1.0986122886681098,2
12557.0,158,3,1691.34,7.433867465605778,1.3862943611198906,0
12558.0,8,1,269.96,5.601971208509516,0.6931471805599453,2
12559.0,311,2,561.71,6.33276439774036,1.0986122886681098,1
12560.0,5,3,2134.01,7.666226609492505,1.3862943611198906,0
12561.0,303,1,238.85,5.480013727948073,0.6931471805599453,1
12562.0,8,7,3781.7400000000002,8.23820389374878,2.0794415416798357,3
12564.0,261,1,456.9,6.12665081966305,0.6931471805599453,1
12565.0,289,1,145.92,4.989888220951467,0.6931471805599453,1
12566.0,86,1,351.65,5.865476063654188,0.6931471805599453,2
12567.0,23,10,9401.28,9.148707492038316,2.3978952727983707,3
12569.0,2,32,4124.69,8.324988557507531,3.4965075614664802,3
12571.0,40,2,519.61,6.255001200981438,1.0986122886681098,2
12572.0,9,2,1020.42,6.928949094989139,1.0986122886681098,0
12573.0,227,1,160.54000000000002,5.08475279001415,0.6931471805599453,1
12574.0,316,1,218.45,5.391124416134243,0.6931471805599453,1
12576.0,36,5,1315.83,7.182982612166326,1.791759469228055,0
12577.0,35,3,657.8,6.490419998303485,1.3862943611198906,0
12578.0,21,2,2794.51,7.935769837637909,1.0986122886681098,0
12579.0,78,1,440.42,6.0899968031722285,0.6931471805599453,2
12580.0,247,1,415.7,6.032366538428407,0.6931471805599453,1
12581.0,40,1,197.71,5.291846475417725,0.6931471805599453,2
12582.0,239,2,511.36,6.239027502962935,1.0986122886681098,1
12583.0,3,15,7281.38,8.89321301083995,2.772588722239781,3
12584.0,4,9,2338.15,7.757542894498013,2.302585092994046,3
12585.0,234,2,2040.1,7.621244157199997,1.0986122886681098,1
12586.0,17,1,196.94000000000003,5.2879639544685455,0.6931471805599453,2
12587.0,8,1,144.0,4.976733742420574,0.6931471805599453,2
12588.0,39,1,214.89999999999998,5.3748153375207615,0.6931471805599453,2
12589.0,29,2,646.68,6.473396747218991,1.0986122886681098,2
12590.0,211,1,5569.0599999999995,8.625161104856131,0.6931471805599453,0
12591.0,317,1,452.84999999999997,6.117766746972636,0.6931471805599453,1
12592.0,92,2,437.6,6.083587835983788,1.0986122886681098,2
12593.0,109,3,418.09999999999997,6.038109554931026,1.3862943611198906,2
12594.0,38,10,3338.2200000000003,8.113492525763553,2.3978952727983707,3
12596.0,51,2,618.27,6.428541364981557,1.0986122886681098,2
12597.0,19,4,3307.22,8.104165559373547,1.6094379124341003,0
12598.0,10,8,3023.08,8.01436219197595,2.1972245773362196,3
12599.0,29,7,1032.58,6.940783782995926,2.0794415416798357,0
