CustomerID,Recency,Frequency,Monetary,Cluster,Label
17219.0,32,1,114.23,2,New / Occasional Customer
14520.0,2,2,270.6,2,New / Occasional Customer
16639.0,31,3,1257.51,0,Loyal / Regular Customer
17682.0,10,6,2474.33,0,Loyal / Regular Customer
17450.0,8,26,12679.46,3,Champion / High-Value Customer
13518.0,86,1,659.4399999999999,2,New / Occasional Customer
15175.0,72,1,224.14,2,New / Occasional Customer
15857.0,19,1,297.0,2,New / Occasional Customer
15917.0,248,1,123.1,1,At Risk / Dormant Customer
14177.0,86,4,559.41,0,Loyal / Regular Customer
12680.0,1,4,862.81,0,Loyal / Regular Customer
17331.0,124,1,175.2,2,New / Occasional Customer
17800.0,37,9,1199.01,0,Loyal / Regular Customer
15492.0,28,2,659.4599999999999,2,New / Occasional Customer
15386.0,186,1,394.14,1,At Risk / Dormant Customer
16963.0,187,1,110.55000000000001,1,At Risk / Dormant Customer
17282.0,130,3,1321.81,0,Loyal / Regular Customer
13263.0,1,35,7454.07,3,Champion / High-Value Customer
13329.0,32,2,789.0,0,Loyal / Regular Customer
12464.0,10,8,1212.05,0,Loyal / Regular Customer
13505.0,73,4,4073.63,0,Loyal / Regular Customer
14932.0,366,1,363.53,1,At Risk / Dormant Customer
16043.0,38,4,773.99,0,Loyal / Regular Customer
13575.0,23,5,732.0699999999999,0,Loyal / Regular Customer
13610.0,12,7,1131.88,0,Loyal / Regular Customer
13218.0,127,1,62.63999999999999,2,New / Occasional Customer
17588.0,100,3,976.2,0,Loyal / Regular Customer
15462.0,94,3,234.6,2,New / Occasional Customer
12545.0,75,2,1000.39,0,Loyal / Regular Customer
15951.0,9,2,708.22,2,New / Occasional Customer
15690.0,4,2,239.76,2,New / Occasional Customer
12534.0,131,1,1089.18,2,New / Occasional Customer
18154.0,3,2,399.19,2,New / Occasional Customer
15539.0,7,1,538.46,2,New / Occasional Customer
13364.0,71,1,134.95999999999998,2,New / Occasional Customer
14428.0,7,5,1244.83,0,Loyal / Regular Customer
15998.0,37,5,3089.97,0,Loyal / Regular Customer
15974.0,39,7,3442.15,3,Champion / High-Value Customer
15006.0,51,1,502.09,2,New / Occasional Customer
14543.0,29,16,2659.93,3,Champion / High-Value Customer
17069.0,28,9,2709.7000000000003,3,Champion / High-Value Customer
16643.0,246,1,487.51,1,At Risk / Dormant Customer
18203.0,157,1,160.42000000000002,1,At Risk / Dormant Customer
14411.0,311,1,1063.0,1,At Risk / Dormant Customer
12535.0,92,2,716.35,2,New / Occasional Customer
14918.0,116,2,1610.15,0,Loyal / Regular Customer
17786.0,85,2,278.74,2,New / Occasional Customer
18001.0,12,2,417.23,2,New / Occasional Customer
15346.0,333,1,252.42000000000002,1,At Risk / Dormant Customer
13316.0,37,4,4709.33,0,Loyal / Regular Customer
15412.0,171,1,190.53,1,At Risk / Dormant Customer
14965.0,96,2,599.0,2,New / Occasional Customer
15219.0,176,1,305.75,1,At Risk / Dormant Customer
14295.0,40,1,166.20000000000002,2,New / Occasional Customer
15707.0,35,4,945.58,0,Loyal / Regular Customer
16692.0,256,2,158.5,1,At Risk / Dormant Customer
14222.0,177,1,683.17,1,At Risk / Dormant Customer
17706.0,4,17,10504.49,3,Champion / High-Value Customer
12481.0,23,10,5596.32,3,Champion / High-Value Customer
14412.0,43,2,770.03,0,Loyal / Regular Customer
12787.0,10,3,463.66,0,Loyal / Regular Customer
13581.0,309,1,118.0,1,At Risk / Dormant Customer
17394.0,219,1,203.86999999999998,1,At Risk / Dormant Customer
15624.0,117,4,588.13,0,Loyal / Regular Customer
12527.0,82,3,348.71000000000004,2,New / Occasional Customer
13806.0,64,1,256.38,2,New / Occasional Customer
16914.0,36,1,208.46,2,New / Occasional Customer
17671.0,16,4,1340.71,0,Loyal / Regular Customer
16250.0,261,2,389.44,1,At Risk / Dormant Customer
13994.0,4,6,2313.14,0,Loyal / Regular Customer
15267.0,22,5,914.56,0,Loyal / Regular Customer
18158.0,9,2,453.4,2,New / Occasional Customer
16159.0,282,1,348.2,1,At Risk / Dormant Customer
15408.0,264,1,267.18,1,At Risk / Dormant Customer
17737.0,9,2,168.24,2,New / Occasional Customer
12736.0,333,1,234.0,1,At Risk / Dormant Customer
13408.0,2,61,26726.74,3,Champion / High-Value Customer
12498.0,21,3,403.70000000000005,2,New / Occasional Customer
17223.0,310,2,426.79,1,At Risk / Dormant Customer
17888.0,21,8,726.05,0,Loyal / Regular Customer
15518.0,64,8,1942.45,0,Loyal / Regular Customer
14748.0,29,5,1415.75,0,Loyal / Regular Customer
17483.0,65,3,414.04,2,New / Occasional Customer
17453.0,18,2,486.71999999999997,2,New / Occasional Customer
12641.0,115,1,185.9,2,New / Occasional Customer
15744.0,78,1,34.8,2,New / Occasional Customer
17535.0,280,1,164.4,1,At Risk / Dormant Customer
16073.0,297,1,122.39999999999999,1,At Risk / Dormant Customer
14081.0,302,2,934.52,1,At Risk / Dormant Customer
14766.0,8,6,2473.37,0,Loyal / Regular Customer
18260.0,173,6,2643.2000000000003,0,Loyal / Regular Customer
14621.0,1,5,1788.3600000000001,0,Loyal / Regular Customer
17988.0,12,7,201.12,0,Loyal / Regular Customer
15986.0,30,1,168.12,2,New / Occasional Customer
13174.0,16,3,2817.03,0,Loyal / Regular Customer
12948.0,16,7,2064.95,0,Loyal / Regular Customer
18043.0,25,3,559.51,0,Loyal / Regular Customer
12610.0,23,5,2099.54,0,Loyal / Regular Customer
17531.0,190,1,296.7,1,At Risk / Dormant Customer
16878.0,84,1,13.3,2,New / Occasional Customer
12567.0,23,10,9401.28,3,Champion / High-Value Customer
15863.0,26,2,68.84,2,New / Occasional Customer
14549.0,311,1,289.24,1,At Risk / Dormant Customer
13878.0,55,1,1281.53,2,New / Occasional Customer
17789.0,281,1,225.9,1,At Risk / Dormant Customer
12365.0,291,1,320.69,1,At Risk / Dormant Customer
